week,industry,report_count,methods,n_methods,severity_score
2015-06-01,Choc/Cocoa Prod,3,zscore+isolation_forest,2,3.869
2007-12-10,Soup,3,zscore+isolation_forest,2,3.869
2007-09-10,Cereal Prep/Breakfast Food,4,zscore+isolation_forest,2,3.864
2013-09-23,Prep Salad Prod,4,zscore+isolation_forest,2,3.864
2010-11-15,Mult Food Dinner/Grav/Sauce/Special,5,zscore+isolation_forest,2,3.755
2009-06-29,Cosmetics,12,zscore+isolation_forest,2,3.738
2009-06-29,Dressing/Condiment,4,zscore+isolation_forest,2,3.708
2009-06-29,Soft Drink/Water,13,zscore+isolation_forest,2,3.512
2004-08-30,Cereal Prep/Breakfast Food,6,zscore+isolation_forest,2,3.491
2013-10-28,Baby Food Prod,4,zscore+isolation_forest,2,3.425
2010-11-15,Prep Salad Prod,4,zscore+isolation_forest,2,3.425
2004-08-30,Bakery Prod/Dough/Mix/Icing,13,zscore+isolation_forest,2,3.326
2004-12-20,"Meat, Meat Products and Poultry",4,zscore+isolation_forest,2,3.307
2010-11-15,Cosmetics,18,zscore+isolation_forest,2,3.272
2010-11-15,Nuts/Edible Seed,27,zscore+isolation_forest,2,3.225
2015-03-30,Dressing/Condiment,2,zscore+isolation_forest,2,3.175
2010-11-01,Prep Salad Prod,3,zscore+isolation_forest,2,3.175
2009-11-09,Vegetable Oils,2,zscore+isolation_forest,2,3.175
2010-11-15,Soup,2,zscore+isolation_forest,2,3.175
2015-04-13,Soup,2,zscore+isolation_forest,2,3.175
2016-07-11,Filled Milk/Imit Milk Prod,2,zscore+isolation_forest,2,3.175
2015-04-27,Coffee/Tea,6,zscore+isolation_forest,2,3.158
2009-06-29,Vegetables/Vegetable Products,15,zscore+isolation_forest,2,3.124
2009-03-02,Coffee/Tea,3,zscore+isolation_forest,2,3.075
2017-03-20,Dressing/Condiment,3,zscore+isolation_forest,2,3.075
2015-10-19,Milk/Butter/Dried Milk Prod,5,zscore+isolation_forest,2,3.022
2015-04-27,Baby Food Prod,4,zscore+isolation_forest,2,3.019
2012-12-10,Milk/Butter/Dried Milk Prod,4,zscore+isolation_forest,2,3.019
2010-11-15,Coffee/Tea,4,zscore+isolation_forest,2,2.985
2009-02-02,Cereal Prep/Breakfast Food,7,zscore+isolation_forest,2,2.964
2009-11-09,Mult Food Dinner/Grav/Sauce/Special,7,zscore+isolation_forest,2,2.933
2005-05-16,Coffee/Tea,5,zscore+isolation_forest,2,2.872
2015-04-13,Vegetables/Vegetable Products,8,zscore+isolation_forest,2,2.771
2011-11-14,"Spices, Flavors And Salts",5,zscore+isolation_forest,2,2.755
2005-05-16,Cosmetics,16,zscore+isolation_forest,2,2.726
2009-06-29,Milk/Butter/Dried Milk Prod,6,zscore+isolation_forest,2,2.714
2011-02-07,Snack Food Item,6,zscore+isolation_forest,2,2.714
2017-02-20,Baby Food Prod,7,zscore+isolation_forest,2,2.684
2009-03-02,Candy W/O Choc/Special/Chew Gum,4,zscore+isolation_forest,2,2.684
